Size 10000, time=52.
Size 20000, time=53.
Size 30000, time=63.
Size 40000, time=73.
Size 50000, time=85.
Size 60000, time=100.
Size 70000, time=109.
Size 80000, time=123.
Size 90000, time=130.
Size 100000, time=143.
Size 110000, time=157.
Size 120000, time=166.
Size 130000, time=176.
Size 140000, time=189.
Size 150000, time=201.
Size 160000, time=218.
Size 170000, time=225.
Size 180000, time=236.
Size 190000, time=250.
Size 200000, time=258.
Size 210000, time=275.
Size 220000, time=278.
Size 230000, time=295.
Size 240000, time=305.
Size 250000, time=320.
Size 260000, time=331.
Size 270000, time=343.
Size 280000, time=350.
Size 290000, time=362.
Size 300000, time=369.
Size 310000, time=390.
Size 320000, time=395.
Size 330000, time=405.
Size 340000, time=423.
Size 350000, time=433.
Size 360000, time=446.
Size 370000, time=458.
Size 380000, time=467.
Size 390000, time=477.
Size 400000, time=497.
Size 410000, time=505.
Size 420000, time=518.
Size 430000, time=519.
Size 440000, time=536.
Size 450000, time=553.
Size 460000, time=563.
Size 470000, time=579.
Size 480000, time=592.
Size 490000, time=596.
Size 500000, time=621.
Size 510000, time=617.
Size 520000, time=634.
Size 530000, time=641.
Size 540000, time=655.
Size 550000, time=693.
Size 560000, time=673.
Size 570000, time=692.
Size 580000, time=698.
Size 590000, time=712.
Size 600000, time=740.
Size 610000, time=732.
Size 620000, time=753.
Size 630000, time=756.
Size 640000, time=770.
Size 650000, time=807.
Size 660000, time=789.
Size 670000, time=809.
Size 680000, time=817.
Size 690000, time=828.
Size 700000, time=857.
Size 710000, time=852.
Size 720000, time=867.
Size 730000, time=874.
Size 740000, time=890.
Size 750000, time=920.
Size 760000, time=902.
Size 770000, time=922.
Size 780000, time=929.
Size 790000, time=939.
Size 800000, time=969.
Size 810000, time=959.
Size 820000, time=972.
Size 830000, time=987.
Size 840000, time=997.
Size 850000, time=1033.
Size 860000, time=1016.
Size 870000, time=1035.
Size 880000, time=1044.
Size 890000, time=1061.
Size 900000, time=1084.
Size 910000, time=1080.
Size 920000, time=1087.
Size 930000, time=1100.
Size 940000, time=1121.
Size 950000, time=1141.
Size 960000, time=1132.
Size 970000, time=1150.
Size 980000, time=1160.
Size 990000, time=1200.
Size 1000000, time=1187.
