12131A,12132A,12132B,12132D,12132E,12141A,12141C,12141H,12142A,12142B,12142D,12155A,12158A,12160E,12160F,12161A,12161B,12161D,12168,12274A,12274B,12274C,12142M,12143N,12151N,12152A,12152B,12152C,12153D,12153F,12153G,12153H,12153I,12139A,12142G thr,12143A 3rd,12155C,12156A,12156B,12277A,12277B,12281a,12281b,12281G,12281r,12281S,12284A,12284B,12285*1,12286*1,12287A,12287N,12292A,12292B,12292C,12292D,12292N,12293,12296A,12296B,12297A,12297B,12297C,12298B,12298b2,12298c,12298d,12302,12279d,12279G,12279N,12279N414,12279str,12280A,12280B,12280N,12279c
45.67344178,,,,,98.48847405,83.37877025,100,,77.4898516,,59.69159429,,,,81.90931418,85.30611896,,100,,,,,98.50471333,69.399447,,86.34594323,,,,,87.42199585,,,,,56.15868388,83.71791086,77.14767371,,,85.68136864,47.58114202,98.3540969,,,100,,69.04291825,56.48215502,,74.98839755,,65.32138368,,,,,,,66.68391984,95.02192444,58.29293115,,,,,,54.89862228,,,,,58.25211369,80.91469356,80.26497143,64.6193783
47.98517011,,,,,99.26754987,87.59261508,,,78.03034538,,60.6260367,,,,82.79315763,85.77263413,,,,,,,100,70.53252658,,86.86881301,,,,,88.29914856,,,,,56.68302775,86.9775628,78.45170634,,,87.27780642,47.96741765,100,,,,,70.80997952,56.74063204,,79.29025816,,69.19722389,,,,,,,91.72872735,97.34054875,58.62548419,,,,,,55.57925861,,,,,59.80467746,81.63466839,81.26401186,65.63338174
48.96869809,,,,,100,88.96207582,,,79.54275637,,61.07019468,,,,84.74920908,86.25826716,,,,,,,,71.4469498,,87.65449135,,,,,88.80004475,,,,,57.20737161,88.07122223,78.842299,,,87.97262714,48.82350101,,,,,,71.09987876,57.39699177,,82.26048557,,69.74370184,,,,,,,93.78276834,98.44846913,60.37590843,,,,,,63.03880654,,,,,61.15614161,82.22816264,82.78896061,67.11602688
50.0882101,,,,,,92.00009036,,,80.69967392,,66.15800294,,,,85.26265217,87.01811992,,,,,,,,71.92745391,,88.4872492,,,,,90.69760647,,,,,57.73171548,88.69617047,79.21718983,,,88.5100539,49.74756888,,,,,,73.8793312,59.11671296,,82.68886212,,70.68025575,,,,,,,95.89425226,100,62.18896202,,,,,,63.56269535,,,,,61.9900845,83.591939,84.23321848,68.39236006
51.08486525,,,,,,92.3932103,,,89.37539096,,66.63645028,,,,86.6323101,88.17116987,,,,,,,,72.30267902,,97.74099526,,,,,91.63945826,,,,,58.25605934,94.14837521,79.52966395,,,89.17572065,50.38193003,,,,,,75.64284177,60.54777003,,84.13984821,,70.92846604,,,,,,,96.6021398,,63.35289766,,,,,,64.08658415,,,,,69.30435566,85.21349901,85.70833515,69.38738645
52.36668293,,,,,,92.55789854,,,89.90956279,,67.77189403,,,,88.31779167,96.20132748,,,,,,,,73.45357505,,98.58418054,,,,,92.14127276,,,,,58.78040321,94.93698178,80.1546122,,,89.65765175,51.12753856,,,,,,83.39777594,62.5578324,,91.72067861,,72.39958468,,,,,,,97.25674548,,66.18841952,,,,,,65.28796596,,,,,71.34083256,89.0982285,86.45548916,75.47272633
56.29675573,,,,,,93.52372132,,,90.87256272,,68.19657809,,,,89.555295,96.9119074,,,,,,,,74.2358018,,100,,,,,93.01967771,,,,,59.30474707,96.07032543,80.78901278,,,90.12430279,51.41724528,,,,,,84.87619549,64.05387558,,94.52120553,,73.49254058,,,,,,,99.24573187,,67.07052308,,,,,,66.50087332,,,,,71.93369753,89.92243474,88.50580102,75.94248433
58.85130305,,,,,,94.13800211,,,91.57143808,,68.7957637,,,,93.61949137,98.16731345,,,,,,,,80.22744889,,,,,,,95.03177769,,,,,59.82909094,96.73191126,81.84330048,,,90.50583548,51.8035209,,,,,,85.94103336,64.32943766,,95.88255976,,73.82042735,,,,,,,100,,67.93112535,,,,,,67.71178991,,,,,72.91459362,91.50146921,89.95322109,76.75433656
61.10594501,,,,,,94.98509123,,,92.14320889,,69.15240362,,,,93.93694824,99.19803539,,,,,,,,81.3400897,,,,,,,95.95359364,,,,,60.3534348,97.44927373,84.04194653,,,91.05891727,52.28636544,,,,,,89.91344447,64.82249358,,96.39419268,,75.3184327,,,,,,,,,68.42355966,,,,,,69.34307487,,,,,73.82552768,93.34354823,90.60747154,77.56618879
61.5708488,,,,,,95.97336187,,,95.05629866,,69.73043521,,,,95.74873204,100,,,,,,,,82.18849181,,,,,,,100,,,,,60.87777867,98.57121207,85.40659914,,,91.7722053,52.6613425,,,,,,90.78306823,65.399717,,97.87058697,,76.69337122,,,,,,,,,69.12439094,,,,,,70.52140557,,,,,74.86737969,94.91710261,92.3356741,78.17507796
